Model,Category,Accuracy,Precision,Recall,F1 Score
LogisticRegression,Train,0.7914208029619345,0.7962641434680774,0.9427582020363676,0.8633408928672954
LogisticRegression,Test,0.7870531065602221,0.7938397285304098,0.9406742963192082,0.8610419026047565
RandomForestClassifier,Train,0.699511165104709,0.6993202661044832,0.9999724069424133,0.8230494732449305
RandomForestClassifier,Test,0.7019698021520305,0.7018061827023272,0.9999381379523662,0.8247569967089318
